Summary,Issue Type,Priority,Epic Link,Description,Labels,Story Points,Status
"Integrar OBS WebSocket para troca de cenas",Story,High,FASE 3 — Integrações Reais,"Cliente OBS WebSocket v5 no backend. Endpoints /obs/switch-scene e /obs/show-overlay. ActionExecutor chama endpoint real quando tool não simulado. AC: Troca de cena funciona com OBS aberto | Fallback simulado quando OBS offline",integration;obs,8,To Do
"Integrar OBS WebSocket para overlays e media",Story,Medium,FASE 3 — Integrações Reais,"Expandir OBS: controle de sources (show/hide overlay), media source (play/stop). Mapear obs.show_overlay, media.play_video, media.stop para chamadas reais. AC: Overlay aparece/desaparece no OBS | Media source controla play/stop",integration;obs,5,To Do
"Pesquisar e integrar API do Tango Live para chat",Story,High,FASE 3 — Integrações Reais,"Investigar API oficial/não-oficial Tango Live para chat e presentes em tempo real. Se existir, criar adaptador como source alternativa ao OCR. Documentar limitações. AC: Decisão documentada (API ou OCR) | Se API existe: adaptador funcional",integration;tango;research,8,To Do
"Implementar media player local",Story,Medium,FASE 3 — Integrações Reais,"Serviço de media player no backend: fila de músicas, play/pause/skip, volume. Frontend exibe player mínimo. media.play_music executa de verdade. Suportar MP3 local. AC: Fila de músicas funciona | Play/skip via Controle Live",integration;media,8,To Do
"Implementar envio real de mensagem no chat Tango",Story,Medium,FASE 3 — Integrações Reais,"Se API Tango permite: chat.reply real. Se não: automação via pyautogui com flag de segurança. requiresApproval=true por padrão. AC: Pelo menos 1 método funcional | Modo simulado preservado como fallback",integration;tango,5,To Do
"Conectar Slack real ao n8n",Story,Medium,FASE 3 — Integrações Reais,"Credencial Slack App no n8n. Conectar nodes de envio nos workflows Audit, Project Creation, Night Shift, Continuous Organizer. AC: Mensagem aparece no canal #odessa-roadmap real | Formato legível no Slack",integration;slack;n8n,5,To Do
"Criar webhook para eventos de chat APIs externas",Story,Medium,FASE 3 — Integrações Reais,"Endpoint /events/webhook para Twitch, YouTube etc via webhook. Normalizar para LiveEvent. AC: Payload documentado | Eventos aparecem no Event Bus | Auth por header secret",integration;backend,5,To Do
"Configurar CI/CD pipeline com GitHub Actions",Story,High,FASE 4 — Deploy & Ops,"GitHub Actions: lint (TS + Python), testes unitários, testes E2E, build produção. Roda em push para main e PRs. Badges no README. AC: Pipeline verde em main | Falha bloqueia merge de PR",devops;ci,5,To Do
"Implementar autenticação básica JWT",Story,High,FASE 4 — Deploy & Ops,"Auth por JWT no backend. Login no frontend. Proteger endpoints /ai/*, /n8n/*, /project/*. AC: Sem token válido = 401 | Login funciona | Token expira em 24h",security;backend,8,To Do
"Deploy do frontend em Vercel/Netlify",Story,Medium,FASE 4 — Deploy & Ops,"Deploy automático do frontend. Variáveis de ambiente. Build produção. Domínio customizado opcional. AC: URL pública acessível | Build automático em push para main",devops;deploy,3,To Do
"Deploy do backend em Railway/Render",Story,Medium,FASE 4 — Deploy & Ops,"Dockerizar FastAPI. Deploy em Railway/Render. Variáveis sensíveis. AC: /health responde em URL pública | Variáveis em secrets manager | Auto-deploy em push para main",devops;deploy;backend,5,To Do
"Implementar logging estruturado",Story,Medium,FASE 4 — Deploy & Ops,"Logging JSON com request_id em cada request. Agregação de logs. Sentry para erros. AC: Logs em JSON | request_id rastreável | Erros no Sentry",devops;observability,5,To Do
"Restringir CORS por ambiente",Story,Medium,FASE 4 — Deploy & Ops,"Config por ambiente: dev (permissivo), staging (domínio específico), prod (domínio final). Ler de env var. AC: Produção só aceita domínio autorizado",security;backend,2,To Do
"Implementar rate limiting",Story,Medium,FASE 4 — Deploy & Ops,"Rate limiting em IA e TTS com slowapi. Limites: /ai/* = 30/min, /tts = 20/min, /ocr = 60/min. AC: Excesso retorna 429 | Header X-RateLimit-Remaining presente",security;backend,3,To Do
"Melhorar responsividade mobile",Story,Medium,FASE 5 — Produto Final,"Redesenhar layouts para < 768px. Priorizar Controle Live e Persona em mobile. Extrator OCR desktop-only com aviso. AC: Controle Live usável em celular | Breakpoints testados",frontend;ux;mobile,5,To Do
"Dashboard de analytics de sessão",Story,Medium,FASE 5 — Produto Final,"Nova aba/seção: duração sessão, eventos processados, tipos, latência média, top usuários, presentes. Dados dos ciclos auditados. AC: Gráficos visuais | Dados atualizados em tempo real",frontend;analytics,8,To Do
"Sistema de templates de persona",Story,Low,FASE 5 — Produto Final,"Salvar/carregar múltiplos perfis. 3-5 templates padrão (Anfitriã calorosa, Gamer, DJ, Moderadora). Export/import JSON. AC: Trocar persona em 2 cliques | Templates funcionam out-of-box",frontend;feature,5,To Do
"Avatar animado com lip sync",Story,Low,FASE 5 — Produto Final,"Avatar 2D sincronizado com TTS. Considerar: Live2D, SVG, canvas. Overlay exportável para OBS. AC: Avatar mexe a boca com o áudio | Exportável como browser source no OBS",frontend;feature;research,13,To Do
"Internacionalização (i18n)",Story,Low,FASE 5 — Produto Final,"Extrair strings para arquivos de tradução. react-intl ou similar. Suportar pt-BR e en-US. AC: Trocar idioma sem reload | Todas strings traduzidas",frontend;i18n,8,To Do
"Onboarding wizard para primeiro uso",Story,Low,FASE 5 — Produto Final,"Wizard guiado: configurar API key, selecionar fonte vídeo, zona OCR, testar persona, primeiro ciclo. AC: Novo usuário funcional em < 5min | Pode pular passos",frontend;ux,5,To Do
"Polish final de UI/UX",Story,Medium,FASE 5 — Produto Final,"Loading states, empty states, animações de transição, feedback visual. Micro-animações. Consistência visual entre 3 abas. AC: Nenhum empty state sem instrução | Transições suaves | Design review aprovado",frontend;ux;polish,5,To Do
"Documentação de usuário final",Story,Medium,FASE 5 — Produto Final,"Guia do usuário com screenshots: configuração, primeira live, persona, troubleshooting. Formato: README detalhado ou Docusaurus/VitePress. AC: Usuário não-técnico consegue seguir o guia | FAQ com 10+ perguntas",docs;user,5,To Do
