Summary,Issue Type,Priority,Parent,Description,Labels,Story Points
"Criar SimulationPanel component",Sub-task,High,Refatorar LiveAutopilotConsole.tsx em componentes menores,"Extrair painel de simulação: velocidades, rodar/parar cenário, eventos de teste, log de simulação. src/components/live/SimulationPanel.tsx",frontend;refactor,2
"Criar CycleTimeline component",Sub-task,High,Refatorar LiveAutopilotConsole.tsx em componentes menores,"Extrair timeline auditável: ciclos com stages, decisões, ações, logs. src/components/live/CycleTimeline.tsx",frontend;refactor,2
"Criar ActionQueuePanel component",Sub-task,Medium,Refatorar LiveAutopilotConsole.tsx em componentes menores,"Extrair fila de ações: ações com status, próxima ação destacada. src/components/live/ActionQueuePanel.tsx",frontend;refactor,1
"Extrair StatusDot para shared components",Sub-task,Medium,Criar shared UI components library,"Mover StatusDot de AIPersonaTrainer para src/components/ui/StatusDot.tsx. Atualizar imports em todos os consumidores.",frontend;refactor,1
"Extrair SliderControl para shared components",Sub-task,Medium,Criar shared UI components library,"Unificar SliderControl de CaptureStudio e AIPersonaTrainer em src/components/ui/SliderControl.tsx. Interface consistente.",frontend;refactor,1
"Extrair StatusChip para shared components",Sub-task,Low,Criar shared UI components library,"Mover StatusChip de CaptureStudio para src/components/ui/StatusChip.tsx.",frontend;refactor,1
"Configurar Vitest com TypeScript",Sub-task,Highest,Configurar Vitest e criar testes para core modules,"Instalar vitest + @testing-library/react. Configurar vitest.config.ts com coverage reporter. Script npm test. AC: npm test roda sem erros",testing;setup,1
"Testes para eventClassifier.ts",Sub-task,High,Configurar Vitest e criar testes para core modules,"Testar classifyEvent: chat, gift (rosa x5), gift resgatável (cena/música), moderação (spam), alerta (seguidor), sistema (chat quieto). Testar extractUsername com todos formatos.",testing,2
"Testes para automationRules.ts",Sub-task,High,Configurar Vitest e criar testes para core modules,"Testar ruleMatches com todos triggers. Testar materializeAction com template filling ({user}, {giftName}, etc). Testar applyAutomationRules retorna matches corretos.",testing,2
"Testes para memory.ts",Sub-task,High,Configurar Vitest e criar testes para core modules,"Testar: addTurn (adiciona e limita a 50), buildMemoryContext, extractUsername (todos formatos), detectInteractionType, trackUserInteraction, clearMemory.",testing,2
"Testes para eventBus.ts e toolRegistry.ts",Sub-task,Medium,Configurar Vitest e criar testes para core modules,"Testar: emitEvent, getRecentEvents, replaceEvents, markEventProcessed, clearEvents. Testar loadToolRegistry, updateToolRegistry, findTool, capabilityForAction.",testing,1
"Criar fixture de dados para testes backend",Sub-task,High,Configurar pytest e criar testes para backend Python,"Criar conftest.py com: client httpx async, imagem base64 mock, persona_prompt padrão, eventos mock por tipo, mock de Gemini/OpenAI responses.",testing;backend,2
"Testes para /health e /ocr",Sub-task,High,Configurar pytest e criar testes para backend Python,"Testar GET /health retorna status ok. Testar POST /ocr com imagem válida e inválida. Testar get_new_text com vários cenários de diff.",testing;backend,2
"Testes para /ai/respond e /ai/decide",Sub-task,High,Configurar pytest e criar testes para backend Python,"Mock Gemini/OpenAI. Testar resposta bem-formada. Testar normalize_decision com respostas parciais/malformadas. Testar fallback Gemini→OpenAI.",testing;backend,3
"Testes para /tts e /n8n/dispatch",Sub-task,Medium,Configurar pytest e criar testes para backend Python,"Testar /tts com voice Edge. Testar /n8n/dispatch target audit e action. Testar normalize_n8n_event com payloads variados.",testing;backend,2
"Criar schema SQLite e migration script",Sub-task,High,Implementar persistência SQLite no backend,"Definir tabelas: events, cycles, audit_entries, project_tasks, organizer_runs. Script de migração que lê JSONs existentes e popula SQLite. AC: Migração roda sem erro em dados existentes",backend;database,3
"Implementar repository layer para SQLite",Sub-task,High,Implementar persistência SQLite no backend,"Criar server/db/repository.py com funções CRUD para cada tabela. Interface consistente com tipagem. AC: Todos endpoints usam repository ao invés de JSON direto",backend;database,3
"Atualizar endpoints para usar SQLite",Sub-task,Medium,Implementar persistência SQLite no backend,"Atualizar rotas que leem/escrevem JSON para usar repository SQLite. Manter JSON como fallback se SQLite indisponível. AC: Dados persistem entre restarts",backend;database,2
"Criar endpoints REST para memória/perfis",Sub-task,High,Migrar memória e perfis de localStorage para backend,"GET/POST /memory/turns (com paginação), GET/POST /users/profiles, DELETE endpoints. AC: Swagger mostra todos endpoints | Paginação funciona",backend;api,3
"Atualizar frontend para usar API de memória",Sub-task,High,Migrar memória e perfis de localStorage para backend,"lib/memory.ts e AIPersonaTrainer: salvar no backend com fallback localStorage. Sincronizar na inicialização. AC: Dados novos vão pro backend | Offline mantém localStorage",frontend;api,3
"Implementar retry no generate_ai_text_with_fallback",Sub-task,Medium,Adicionar retry e circuit breaker para chamadas IA,"Retry com backoff (1s, 2s, 4s) para erros transientes (5xx, timeout). Não retentar em 4xx. AC: Erro temporário recupera sem intervenção",backend;resilience,2
"Implementar circuit breaker para providers IA",Sub-task,Medium,Adicionar retry e circuit breaker para chamadas IA,"Tracker de falhas por provider. Após 5 falhas: desativa provider por 60s. Log de estado do circuit breaker. AC: Provider com 5+ falhas é desativado temporariamente",backend;resilience,3
"Configurar ESLint para TypeScript React",Sub-task,Medium,Configurar ESLint + Prettier (frontend) e ruff (backend),"Instalar eslint + typescript-eslint + eslint-plugin-react. Configurar rules alinhadas ao projeto. Script: npm run lint. AC: npm run lint passa sem erro",devops;quality,1
"Configurar Prettier com integração ESLint",Sub-task,Medium,Configurar ESLint + Prettier (frontend) e ruff (backend),"Instalar prettier + eslint-config-prettier. Configurar .prettierrc. Script: npm run format. AC: npm run format formata tudo sem conflito com ESLint",devops;quality,1
"Configurar ruff para backend Python",Sub-task,Medium,Configurar ESLint + Prettier (frontend) e ruff (backend),"Instalar ruff. Configurar ruff.toml. Script: ruff check server/ e ruff format server/. AC: ruff check passa sem erro | Integrado no CI",devops;quality,1
"Separar rotas OCR e IA do main.py",Sub-task,High,Refatorar server/main.py em módulos,"Criar server/routes/ocr.py e server/routes/ai.py. Mover endpoints e helpers relacionados. Registrar routers no main.py. AC: Todos endpoints continuam funcionando | Testes passam",refactor;backend,3
"Separar rotas TTS, n8n e project do main.py",Sub-task,High,Refatorar server/main.py em módulos,"Criar routes/tts.py, routes/n8n.py, routes/project.py. Extrair services/gemini.py e services/openai_client.py. AC: main.py < 150 linhas | Imports corretos",refactor;backend,3
"Extrair utils e normalizers do main.py",Sub-task,Medium,Refatorar server/main.py em módulos,"Criar server/utils.py com: utc_now, local_time_label, read_json_list, write_json_list, extract_json_object. Criar server/normalizers.py com normalize_decision, normalize_n8n_event etc.",refactor;backend,2
